Order_ID,Restaurant_Name,Location,Order,Order_Time,Delivery,Delivery_Time,Delivery_Duration_min,Pizza_Size,Pizza_Type,Toppings_Count,Distance_km,Traffic_Level,Payment_Method,Is_Peak_Hour,Is_Weekend,Topping_Density,Order_Month,Payment_Category,Estimated_Duration_min,Delay_min,Is_Delayed,Traffic_Impact,Order_Hour
ORD001,Domino's,"New York, NY",2024-01-05,18:30:00,2024-01-05,18:45:00,15,Medium,Veg,3,2.5,Medium,Card,TRUE,FALSE,1.200000000,January,Online,6.00,9.00,FALSE,2,18
ORD002,Papa John's,"Los Angeles, CA",2024-02-14,20:00:00,2024-02-14,20:25:00,25,Large,Non-Veg,4,5.0,High,Wallet,TRUE,FALSE,0.800000000,February,Online,12.00,13.00,FALSE,3,20
ORD003,Little Caesars,"Chicago, IL",2024-03-21,12:15:00,2024-03-21,12:35:00,20,Small,Vegan,2,3.0,Low,UPI,FALSE,FALSE,0.666666667,March,Online,7.20,12.80,FALSE,1,12
ORD004,Pizza Hut,"Miami, FL",2024-04-10,19:45:00,2024-04-10,20:10:00,25,XL,Cheese Burst,5,4.5,Medium,Cash,TRUE,FALSE,1.111111111,April,Offline,10.80,14.20,FALSE,2,19
ORD005,Marco's Pizza,"Dallas, TX",2024-05-05,13:00:00,2024-05-05,13:20:00,20,Medium,Non-Veg,3,2.0,High,Card,FALSE,TRUE,1.500000000,May,Online,4.80,15.20,FALSE,3,13
ORD006,Domino's,"New York, NY",2024-01-06,19:00:00,2024-01-06,19:20:00,20,Medium,Non-Veg,3,3.0,High,Card,TRUE,TRUE,1.000000000,January,Online,7.20,12.80,FALSE,3,19
ORD007,Papa John's,"Los Angeles, CA",2024-01-07,20:15:00,2024-01-07,20:40:00,25,Large,Veg,4,4.5,Medium,UPI,TRUE,TRUE,0.888888889,January,Online,10.80,14.20,FALSE,2,20
ORD008,Little Caesars,"Chicago, IL",2024-01-08,18:30:00,2024-01-08,18:50:00,20,Small,Vegan,2,2.0,Low,Cash,TRUE,FALSE,1.000000000,January,Offline,4.80,15.20,FALSE,1,18
ORD009,Pizza Hut,"Miami, FL",2024-01-09,19:45:00,2024-01-09,20:10:00,25,XL,Cheese Burst,5,5.0,High,Wallet,TRUE,FALSE,1.000000000,January,Online,12.00,13.00,FALSE,3,19
ORD010,Marco's Pizza,"Dallas, TX",2024-01-10,13:00:00,2024-01-10,13:20:00,20,Medium,Non-Veg,3,3.5,Medium,Card,FALSE,FALSE,0.857142857,January,Online,8.40,11.60,FALSE,2,13
ORD011,Domino's,"San Francisco, CA",2024-01-11,17:30:00,2024-01-11,17:50:00,20,Large,Veg,4,4.0,Low,UPI,FALSE,FALSE,1.000000000,January,Online,9.60,10.40,FALSE,1,17
